,item_number,condition_answer,condition,condition_context,helpfulness,posterior,prior,helpfulness_mean,helpfulness_stdev,helpfulness_range,posterior_mean,posterior_stdev,posterior_range,prior_mean,prior_stdev,prior_range,kl,kl_exp,entropy_reduction,answer,context
141,4,low-certainty,context-low-bias answer-low-certainty,low-bias,"[0.0176, 0.43410000000000004, 0.1333]","[0.2766835298, 0.0836794384, 0.2022425753]","[0.039464894300000004, 0.1047102667, 0.078338947]",0.19500000000000003,0.17554340393950058,0.41650000000000004,0.18753518116666668,0.07947693756023314,0.1930040914,0.07417136933333333,0.0267988330916285,0.0652453724,0.05212804227788753,0.11310550805432384,-0.2183314242969165,She speaks Spanish.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city where they don't speak English, but where?"
144,4,non-answer,context-low-bias answer-non-answer,low-bias,"[0.0, 0.0, 0.0]","[0.4947501072, 0.4420946417, 0.20545227370000002]","[0.039464894300000004, 0.1047102667, 0.078338947]",0.0,0.0,0.0,0.3807656742,0.12581531652362646,0.2892978335,0.07417136933333333,0.0267988330916285,0.0652453724,0.2510433054086604,0.4390079657341921,-0.40013999288721763,She's a talented singer.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city where they don't speak English, but where?"
147,4,reductive-answer,context-low-bias answer-reductive-answer,low-bias,"[0.3204, 0.8063, 0.6506000000000001]","[0.5146976473, 0.510199214, 0.5526911263000001, 0.7043829051]","[0.039464894300000004, 0.1047102667, 0.078338947]",0.5924333333333334,0.20258697446337023,0.4859,0.570492723175,0.07904409435204887,0.1941836911,0.07417136933333333,0.0267988330916285,0.0652453724,0.5597644576533006,0.7244277118231273,-0.41887781940686236,She's either from Madrid or Moscow.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city where they don't speak English, but where?"
150,4,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,"[1.0, 1.0, 1.0]","[0.7801710628, 0.7598910871, 0.9159920786]","[0.020415348, 0.0548125927, 0.0260529571]",1.0,0.0,0.0,0.8186847428333334,0.06930299439948825,0.1561009915,0.03376029926666666,0.015063088510073847,0.0343972447,1.509045999192399,0.9690290875293932,-0.32580237529901546,She was born and raised in Madrid.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city somewhere."
153,4,high-certainty,context-negative-bias answer-high-certainty,negative-bias,"[0.5, 1.0, 0.6725]","[0.5134981777000001, 0.3624902901, 0.5996054476]","[0.020415348, 0.0548125927, 0.0260529571]",0.7241666666666666,0.2073677624147227,0.5,0.4918646384666667,0.0980030849646499,0.2371151575,0.03376029926666666,0.015063088510073847,0.0343972447,0.5305264636981268,0.7052366142689857,-0.5454351570932918,She's from Spain.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city somewhere."
156,4,low-certainty,context-negative-bias answer-low-certainty,negative-bias,"[0.28140000000000004, 0.5276000000000001, 0.5]","[0.188909496, 0.6667906642, 0.5095993447]","[0.020415348, 0.0548125927, 0.0260529571]",0.4363333333333334,0.11013232445058485,0.24620000000000003,0.45509983496666667,0.1988638565299209,0.4778811682,0.03376029926666666,0.015063088510073847,0.0343972447,0.46565278500930574,0.6577470383131239,-0.5415300448113458,She speaks Spanish.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city somewhere."
159,4,non-answer,context-negative-bias answer-non-answer,negative-bias,"[0.0, 0.0438, 0.0]","[0.0049188865000000005, 0.1680503988, 0.35247044510000003]","[0.020415348, 0.0548125927, 0.0260529571]",0.0146,0.020647518010647185,0.0438,0.1751465768,0.14197602679790247,0.34755155860000003,0.03376029926666666,0.015063088510073847,0.0343972447,0.0972842966948188,0.2006891590219697,-0.3163739976254496,She's a talented singer.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city somewhere."
162,4,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,"[0.5567, 0.2457, 0.2723]","[0.5579053583, 0.5052498928, 0.5017999957, 0.5158970229000001]","[0.020415348, 0.0548125927, 0.0260529571]",0.35823333333333335,0.14075665368129334,0.31099999999999994,0.520213067425,0.022373392886169657,0.056105362599999986,0.03376029926666666,0.015063088510073847,0.0343972447,0.5841024294369954,0.7394461045337697,-0.5447501722433181,She's either from Madrid or Moscow.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city somewhere."
165,4,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,"[1.0, 1.0, 1.0]","[0.9222186482, 0.7372749106, 1.0]","[0.457756011, 0.2979267615, 0.2719155977]",1.0,0.0,0.0,0.8864978529333333,0.11019104488999043,0.26272508939999994,0.34253279006666665,0.08216421825525762,0.1858404133,0.8291709351662877,0.8518065308430195,0.2889258338182212,She was born and raised in Madrid.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city in Europe."
168,4,high-certainty,context-positive-bias answer-high-certainty,positive-bias,"[0.7989, 1.0, 0.9437000000000001]","[0.2139852813, 0.5, 0.48290370330000004]","[0.457756011, 0.2979267615, 0.2719155977]",0.9142000000000001,0.08470729996090458,0.20109999999999995,0.3989629948666667,0.13098507988183858,0.2860147187,0.34253279006666665,0.08216421825525762,0.1858404133,0.0067633587357487646,0.015452573622690702,-0.029887770321799012,She's from Spain.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city in Europe."
171,4,low-certainty,context-positive-bias answer-low-certainty,positive-bias,"[0.6631, 0.1056, 0.3133]","[0.6415258327000001, 0.8786026238, 0.2356987832]","[0.457756011, 0.2979267615, 0.2719155977]",0.3606666666666667,0.23004965164551372,0.5575,0.5852757465666667,0.26546109722149885,0.6429038405999999,0.34253279006666665,0.08216421825525762,0.1858404133,0.11944823027703202,0.24045804214266397,-0.035830746594120444,She speaks Spanish.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city in Europe."
174,4,non-answer,context-positive-bias answer-non-answer,positive-bias,"[0.0, 0.0, 0.0]","[0.099000165, 0.2813453226, 0.22252713600000001]","[0.457756011, 0.2979267615, 0.2719155977]",0.0,0.0,0.0,0.20095754119999998,0.07598848460970627,0.1823451576,0.34253279006666665,0.08216421825525762,0.1858404133,0.05444501868274282,0.11782452225670847,0.14097419060854988,She's a talented singer.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city in Europe."
177,4,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,"[0.5, 0.6408, 0.9648]","[0.50299998, 0.5, 0.5011999987]","[0.457756011, 0.2979267615, 0.2719155977]",0.7018666666666666,0.1946049217146256,0.4648,0.5013999929,0.0012328742190846167,0.002999980000000013,0.34253279006666665,0.08216421825525762,0.1858404133,0.05133172847617651,0.11147782400665462,-0.050442074327194275,She's either from Madrid or Moscow.,"Maria is the new foreign exchange student at school. You want to introduce yourself, but you forgot where she is from. You know it's a big city in Europe."
180,5,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,"[0.993, 1.0, 1.0]","[1.0, 0.9475654544000001, 0.6441019076000001]","[0.4473088737, 0.027534115, 0.4367388122]",0.9976666666666666,0.003299831645537225,0.007000000000000006,0.8638891206666667,0.15688033584822725,0.3558980923999999,0.3038606003,0.19543997613711953,0.4197747587,0.8186587889887149,0.8481757267200822,0.21625968364891768,The whole family is inside the house.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family often goes out to dinner around this time."
183,5,high-certainty,context-low-bias answer-high-certainty,low-bias,"[1.0, 1.0, 1.0]","[1.0, 1.0, 0.95225285]","[0.4473088737, 0.027534115, 0.4367388122]",1.0,0.0,0.0,0.9840842833333333,0.02250822236488749,0.04774714999999996,0.3038606003,0.19543997613711953,0.4197747587,2.273104193912491,0.9946679304439234,0.5324133958510635,I heard voices coming from inside.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family often goes out to dinner around this time."
186,5,low-certainty,context-low-bias answer-low-certainty,low-bias,"[0.8972, 0.8697, 0.2711]","[0.0527715528, 0.811090504, 0.0959353492]","[0.4473088737, 0.027534115, 0.4367388122]",0.6793333333333335,0.2888827943801584,0.6261,0.3199324686666667,0.34774793561265044,0.7583189512,0.3038606003,0.19543997613711953,0.4197747587,0.0005990541654618715,0.0013784222933527213,-0.012718563473738564,There's a light on.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family often goes out to dinner around this time."
189,5,non-answer,context-low-bias answer-non-answer,low-bias,"[0.0, 0.0, 0.0]","[0.22252713600000001, 0.5, 0.15377845140000002]","[0.4473088737, 0.027534115, 0.4367388122]",0.0,0.0,0.0,0.2921018624666667,0.14966144482559995,0.3462215486,0.3038606003,0.19543997613711953,0.4197747587,0.0003317702798825619,0.0007636375810569085,0.010077036514976156,The house has two entrances.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family often goes out to dinner around this time."
192,5,reductive-answer,context-low-bias answer-reductive-answer,low-bias,"[1.0, 0.7548, 0.9085000000000001]","[0.3003783832, 0.7554513765, 0.2673068994]","[0.4473088737, 0.027534115, 0.4367388122]",0.8877666666666667,0.10117036237071715,0.24519999999999997,0.4410455530333333,0.22272808105026182,0.48814447710000003,0.3038606003,0.19543997613711953,0.4197747587,0.039577916063699606,0.08710236087405865,-0.07207974963688302,"If there are two cars in the driveway, then someone is home.","You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family often goes out to dinner around this time."
195,5,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,"[1.0, 1.0, 1.0]","[0.7908384605000001, 0.9786131328000001, 0.9020552576, 0.1021059754]","[0.0550871875, 0.188909496, 0.1298824679]",1.0,0.0,0.0,0.6934032065750001,0.3478528513311555,0.8765071574000001,0.1246263838,0.05475900156209935,0.13382230850000001,0.7044744033568672,0.8025188731707552,-0.24030806619074552,The whole family is inside the house.,"You're a burglar, trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family seems to have left for vacation."
198,5,high-certainty,context-negative-bias answer-high-certainty,negative-bias,"[0.9085000000000001, 1.0, 0.9683]","[0.2040233216, 0.9100704740000001, 0.6948368933]","[0.0550871875, 0.188909496, 0.1298824679]",0.9589333333333334,0.037937346009206015,0.09149999999999991,0.6029768963000001,0.2954706298316492,0.7060471524,0.1246263838,0.05475900156209935,0.13382230850000001,0.4956388827846841,0.6805807267608899,-0.2957436626798666,I heard voices coming from inside.,"You're a burglar, trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family seems to have left for vacation."
201,5,low-certainty,context-negative-bias answer-low-certainty,negative-bias,"[0.6874, 0.049300000000000004, 0.743]","[0.6904422181000001, 0.41599444500000005, 0.20545227370000002]","[0.0550871875, 0.188909496, 0.1298824679]",0.49323333333333336,0.31472786481163195,0.6937,0.4372963122666667,0.19856844110459548,0.48498994440000004,0.1246263838,0.05475900156209935,0.13382230850000001,0.23038316482603674,0.4116756343999828,-0.3092204342790238,There's a light on.,"You're a burglar, trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family seems to have left for vacation."
204,5,non-answer,context-negative-bias answer-non-answer,negative-bias,"[0.2892, 0.0, 0.0]","[0.47361362440000004, 0.1122245818, 0.1994060306]","[0.0550871875, 0.188909496, 0.1298824679]",0.0964,0.1363301874127664,0.2892,0.26174807893333335,0.15398140206019018,0.36138904260000004,0.1246263838,0.05475900156209935,0.13382230850000001,0.05665308007470818,0.12229833962538994,-0.19883492397593006,The house has two entrances.,"You're a burglar, trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family seems to have left for vacation."
207,5,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,"[0.6831, 0.6382, 1.0]","[0.20545227370000002, 0.4224983708, 0.8986965654]","[0.0550871875, 0.188909496, 0.1298824679]",0.7737666666666666,0.16101789410566214,0.3618,0.5088824033,0.28953245390557913,0.6932442916999999,0.1246263838,0.05475900156209935,0.13382230850000001,0.3306007832498945,0.532911454912175,-0.3169468790486747,"If there are two cars in the driveway, then someone is home.","You're a burglar, trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family seems to have left for vacation."
210,5,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,"[0.9893000000000001, 1.0, 1.0]","[1.0, 0.9610123412, 0.9664954107, 0.9908028438]","[0.7509825145, 0.7987046736000001, 0.9479686667]",0.9964333333333334,0.0050440283724640066,0.010699999999999932,0.979577648925,0.016270318307518423,0.03898765879999999,0.8325519516000001,0.08390516357033638,0.19698615220000004,0.21692343083243854,0.39315668910448665,0.35213829069046587,The whole family is inside the house.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family usually watches TV together around this time."
213,5,high-certainty,context-positive-bias answer-high-certainty,positive-bias,"[0.8408, 1.0, 1.0]","[0.9035421742, 0.9727236035000001, 0.9413612659]","[0.7509825145, 0.7987046736000001, 0.9479686667]",0.9469333333333333,0.07504759970993224,0.1592,0.9392090145333333,0.02828417318874892,0.06918142930000004,0.8325519516000001,0.08390516357033638,0.19698615220000004,0.06930582987819804,0.14750042702622634,0.22267817598767972,I heard voices coming from inside.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family usually watches TV together around this time."
216,5,low-certainty,context-positive-bias answer-low-certainty,positive-bias,"[0.927, 0.8275, 0.8697]","[0.9299221358, 0.9529625987, 0.9888051787000001]","[0.7509825145, 0.7987046736000001, 0.9479686667]",0.8747333333333334,0.04077632755519911,0.09950000000000003,0.9572299710666666,0.024227546793923832,0.058883042900000016,0.8325519516000001,0.08390516357033638,0.19698615220000004,0.11235805337849074,0.2279561876254229,0.27516692327454956,There's a light on.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family usually watches TV together around this time."
219,5,non-answer,context-positive-bias answer-non-answer,positive-bias,"[0.0106, 0.5634, 0.0]","[0.1486139299, 0.7235820798, 0.9795846520000001]","[0.7509825145, 0.7987046736000001, 0.9479686667]",0.19133333333333336,0.26312645037868937,0.5634,0.6172602205666667,0.34747310549160826,0.8309707221000001,0.8325519516000001,0.08390516357033638,0.19698615220000004,0.11067733615462183,0.22496259351546843,-0.21357286608010234,The house has two entrances.,"You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family usually watches TV together around this time."
222,5,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,"[0.6878000000000001, 0.9581000000000001, 0.8746]","[0.7418293686, 0.9941114405, 0.9272377565000001]","[0.7509825145, 0.7987046736000001, 0.9479686667]",0.8401666666666667,0.11300372658555212,0.2703,0.8877261885333333,0.10671592806114615,0.25228207189999996,0.8325519516000001,0.08390516357033638,0.19698615220000004,0.013511464256875272,0.030632319850043443,0.1005735587987508,"If there are two cars in the driveway, then someone is home.","You're a burglar trying to rob a house with your accomplice Chris. You've been staking out a good looking house for the last week, and noticed that the family usually watches TV together around this time."
225,6,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,"[1.0, 1.0, 0.8676]","[0.9908028438, 0.9779555659, 0.8163683574]","[0.1538846092, 0.0005915156, 0.3059856608]",0.9558666666666666,0.06241395855273258,0.13239999999999996,0.9283755890333333,0.07937454709994612,0.17443448640000003,0.15348726186666667,0.12467695428396046,0.3053941452,1.814374190559247,0.9846670468233375,0.17089003631452604,There are three slices left.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was delicious."
228,6,high-certainty,context-low-bias answer-high-certainty,low-bias,"[0.049300000000000004, 0.8134, 0.6514]","[0.1998777029, 0.9040646508, 0.095674565]","[0.1538846092, 0.0005915156, 0.3059856608]",0.5047,0.3287378590914043,0.7641,0.3998723062333333,0.35904689918985594,0.8083900857999999,0.15348726186666667,0.12467695428396046,0.3053941452,0.14421751459001722,0.28256512300926806,-0.24424915119516166,The cake box is still on the counter in the kitchen.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was delicious."
231,6,low-certainty,context-low-bias answer-low-certainty,low-bias,"[0.2535, 0.6222, 0.3275]","[0.15558724570000002, 0.0, 0.3121760233]","[0.1538846092, 0.0005915156, 0.3059856608]",0.4010666666666666,0.15925652960623693,0.36869999999999997,0.15592108966666665,0.12744554646252151,0.3121760233,0.15348726186666667,0.12467695428396046,0.3053941452,2.2600352759483307e-05,5.2037881342892334e-05,-0.004133082247900044,I saw someone with a slice yesterday.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was delicious."
234,6,non-answer,context-low-bias answer-non-answer,low-bias,"[0.0, 0.0, 0.007]","[0.0278446642, 0.0143624621, 0.0]","[0.1538846092, 0.0005915156, 0.3059856608]",0.0023333333333333335,0.003299831645537222,0.007,0.0140690421,0.01136942984718203,0.0278446642,0.15348726186666667,0.12467695428396046,0.3053941452,0.23771917536586123,0.4215300217325809,0.35475382167651703,"The cake was half chocolate, half vanilla.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was delicious."
237,6,reductive-answer,context-low-bias answer-reductive-answer,low-bias,"[0.912, 0.9878, 0.9103]","[0.2581706314, 0.2282085968, 0.6032691565]","[0.1538846092, 0.0005915156, 0.3059856608]",0.9367,0.03613982106578098,0.07750000000000001,0.3632161282333333,0.1701832799549566,0.3750605597,0.15348726186666667,0.12467695428396046,0.3053941452,0.10878696492293854,0.22158170398593002,-0.22653551541899275,There's still some left if Lily didn't take it home.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was delicious."
240,6,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,"[1.0, 1.0, 1.0]","[0.9727236035000001, 0.2313186575, 0.9856375379000001]","[0.0272763965, 0.0073814072000000005, 0.0755679617]",1.0,0.0,0.0,0.7298932663000001,0.3525849049807972,0.7543188804000001,0.0367419218,0.028630388058251122,0.06818655450000001,1.1149658051579923,0.9232578088875926,-0.42591713888725785,There are three slices left.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so delicious that the party-goers barely left any behind."
243,6,high-certainty,context-negative-bias answer-high-certainty,negative-bias,"[0.7148, 0.9218000000000001, 0.7065]","[0.0, 0.211688753, 0.16269191900000002, 0.1392181161]","[0.0272763965, 0.0073814072000000005, 0.0755679617]",0.7810333333333334,0.09959472319801332,0.21530000000000005,0.128399697025,0.07860748011573625,0.211688753,0.0367419218,0.028630388058251122,0.06818655450000001,0.05034399725603812,0.10945472703232562,-0.2258854027644917,The cake box is still on the counter in the kitchen.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so delicious that the party-goers barely left any behind."
246,6,low-certainty,context-negative-bias answer-low-certainty,negative-bias,"[0.049300000000000004, 0.0, 0.1761]","[0.4089177074, 0.2182403894, 0.045504273500000005]","[0.0272763965, 0.0073814072000000005, 0.0755679617]",0.07513333333333334,0.07417692063947894,0.1761,0.22422079009999998,0.14842316728226052,0.36341343389999997,0.0367419218,0.028630388058251122,0.06818655450000001,0.14204491301330824,0.2789670910374076,-0.37475056854947114,I saw someone with a slice yesterday.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so delicious that the party-goers barely left any behind."
249,6,non-answer,context-negative-bias answer-non-answer,negative-bias,"[0.0, 0.0, 0.0211]","[0.0669879919, 0.0357142857, 0.0524345456]","[0.0272763965, 0.0073814072000000005, 0.0755679617]",0.007033333333333333,0.00994663538869077,0.0211,0.0517122744,0.012777647974379367,0.0312737062,0.0367419218,0.028630388058251122,0.06818655450000001,0.0025303662014006436,0.005809443039343498,-0.046078564943224765,"The cake was half chocolate, half vanilla.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so delicious that the party-goers barely left any behind."
252,6,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,"[0.6727000000000001, 0.9625, 0.2373]","[0.3051631067, 0.6603077742, 0.9990465967000001]","[0.0272763965, 0.0073814072000000005, 0.0755679617]",0.6241666666666668,0.29804403850587063,0.7252000000000001,0.6548391592,0.2833031400416154,0.69388349,0.0367419218,0.028630388058251122,0.06818655450000001,0.8827681732395469,0.8690119048032221,-0.48695159999721166,There's still some left if Lily didn't take it home.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so delicious that the party-goers barely left any behind."
255,6,exhaustive-answer,context-positive-bias answer-exhaustive-answer,positive-bias,"[1.0, 0.8732000000000001, 1.0]","[0.9040646508, 0.8676347145000001, 0.9639406462000001]","[0.9854371708, 0.7005757656, 0.6067803150000001]",0.9577333333333334,0.059774093236302776,0.1267999999999999,0.9118800038333333,0.03970321504553497,0.09630593170000001,0.7642644171333334,0.16101229116993163,0.37865685579999997,0.0970015192388862,0.20016854294972208,0.24794790170914932,There are three slices left.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it."
258,6,high-certainty,context-positive-bias answer-high-certainty,positive-bias,"[0.9574, 0.611, 0.4484]","[0.2907447541, 0.1117600624, 0.6042938607, 0.8069187223000001]","[0.9854371708, 0.7005757656, 0.6067803150000001]",0.6722666666666667,0.2122662688438483,0.509,0.453429349875,0.26968454569646566,0.6951586599,0.7642644171333334,0.16101229116993163,0.37865685579999997,0.20076035237116238,0.37014635407138463,-0.1426888682333507,The cake box is still on the counter in the kitchen.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it."
261,6,low-certainty,context-positive-bias answer-low-certainty,positive-bias,"[0.074, 0.6844, 0.0]","[0.9602356182, 0.9908028438, 0.7969271641]","[0.9854371708, 0.7005757656, 0.6067803150000001]",0.25279999999999997,0.30667889830679035,0.6844,0.9159885420333334,0.08510894041074007,0.19387567970000008,0.7642644171333334,0.16101229116993163,0.37865685579999997,0.10482130556965516,0.21444120653890753,0.25765531546292236,I saw someone with a slice yesterday.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it."
264,6,non-answer,context-positive-bias answer-non-answer,positive-bias,"[0.034, 0.0, 0.0]","[0.9451874073000001, 0.95575714, 0.0976816407]","[0.9854371708, 0.7005757656, 0.6067803150000001]",0.011333333333333334,0.01602775370689508,0.034,0.6662087293333333,0.4020325175030481,0.8580754993,0.7642644171333334,0.16101229116993163,0.37865685579999997,0.022951718997544848,0.051476094098624636,-0.09071674671774055,"The cake was half chocolate, half vanilla.","It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it."
267,6,reductive-answer,context-positive-bias answer-reductive-answer,positive-bias,"[0.7242000000000001, 0.9401, 0.5207]","[0.7634215777000001, 0.7717914032000001, 0.4420946417]","[0.9854371708, 0.7005757656, 0.6067803150000001]",0.7283333333333334,0.1712442764655865,0.4194,0.6591025408666668,0.15348579678105453,0.32969676150000005,0.7642644171333334,0.16101229116993163,0.37865685579999997,0.02618164431742194,0.05850426783848428,-0.09551459564549225,There's still some left if Lily didn't take it home.,"It's afternoon at the office and you're ready for a snack. There was a birthday party for Lily earlier in the week, and the cake was so big that the party-goers barely made a dent in it."
270,7,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,"[0.9448000000000001, 0.9401, 1.0]","[0.8875893812000001, 0.9933805181, 0.8607818839]","[0.2076029254, 0.3706983068, 0.399514692]",0.9616333333333333,0.02719709951855566,0.05989999999999995,0.9139172610666667,0.05724489724934197,0.13259863420000007,0.3259386414,0.08449892415458392,0.1919117666,1.0511737094530267,0.9111154474394134,0.33788528482737373,Last night Lauren was arrested for leaking classified information.,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power."
273,7,high-certainty,context-low-bias answer-high-certainty,low-bias,"[1.0, 0.858, 0.8816]","[0.5996054476, 0.6851992046000001, 0.9253722950000001]","[0.2076029254, 0.3706983068, 0.399514692]",0.9132000000000001,0.06212846905136699,0.14200000000000002,0.7367256490666666,0.13789426039727226,0.32576684740000006,0.3259386414,0.08449892415458392,0.1919117666,0.3678965393044189,0.5713493755889827,0.05481106422419013,She was caught carrying a sensitive document outside the office.,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power."
276,7,low-certainty,context-low-bias answer-low-certainty,low-bias,"[0.0951, 0.7113, 0.7254]","[0.30106049230000004, 0.2445486235, 0.4151087694]","[0.2076029254, 0.3706983068, 0.399514692]",0.5106,0.2938592520238218,0.6303000000000001,0.32023929506666665,0.07093922609778668,0.17056014590000002,0.3259386414,0.08449892415458392,0.1919117666,7.437752975692196e-05,0.00017124592701411867,0.004215362687811641,She has weekly meetings with her phone turned off.,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power."
279,7,non-answer,context-low-bias answer-non-answer,low-bias,"[0.0, 0.0207, 0.0]","[0.1172933952, 0.3031096742, 0.0533126479]","[0.2076029254, 0.3706983068, 0.399514692]",0.0069,0.009758073580374357,0.0207,0.1579052391,0.10594536323281355,0.2497970263,0.3259386414,0.08449892415458392,0.1919117666,0.08618552654862341,0.1799988273490305,0.19508515707190777,Lauren had sushi for lunch.,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power."
282,7,reductive-answer,context-low-bias answer-reductive-answer,low-bias,"[0.7225, 1.0, 0.6408]","[0.2595990574, 0.7686813425, 0.8607818839]","[0.2076029254, 0.3706983068, 0.399514692]",0.7877666666666667,0.1537334562011651,0.35919999999999996,0.6296874279333333,0.2643793725369621,0.6011828265,0.3259386414,0.08449892415458392,0.1919117666,0.18910973941704787,0.35302088640183504,-0.02785676467258491,She's the mole if she leaves the country tomorrow.,"You and your colleague Lauren are CIA analysts. Lauren is a star employee with good credentials and a brilliant knack for puzzle solving. But she is also a bit secretive---not entirely unexpected given your line of work, but your training causes you to dwell on some suspicious details from your conversations. On Monday your boss told you confidentially that your department is under investigation because the director suspects that a mole is leaking information to a foreign power."
